As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 01, 2019","2,063.07",106.60,0.27,"541,900,000.00"
"Feb 28, 2019","2,067.14",107.07,--,"540,500,000.00"
"Feb 27, 2019","2,068.47",107.15,--,"540,300,000.00"
"Feb 26, 2019","2,073.92",107.43,--,"539,400,000.00"
"Feb 25, 2019","2,070.41",107.25,--,"539,000,000.00"
"Feb 22, 2019","2,071.35",107.30,--,"538,800,000.00"
"Feb 21, 2019","2,067.20",107.08,--,"538,500,000.00"
"Feb 20, 2019","2,071.32",107.29,--,"538,300,000.00"
"Feb 19, 2019","2,072.02",107.33,--,"538,200,000.00"
"Feb 15, 2019","2,069.13",107.18,--,"537,900,000.00"
"Feb 14, 2019","2,069.25",107.19,--,"537,900,000.00"
"Feb 13, 2019","2,065.10",106.97,--,"537,700,000.00"
"Feb 12, 2019","2,067.15",107.08,--,"537,500,000.00"
"Feb 11, 2019","2,068.68",107.16,--,"536,300,000.00"
"Feb 08, 2019","2,071.09",107.28,--,"536,100,000.00"
"Feb 07, 2019","2,069.00",107.18,--,"536,100,000.00"
"Feb 06, 2019","2,064.98",106.97,--,"536,000,000.00"
"Feb 05, 2019","2,064.70",106.95,--,"534,600,000.00"
"Feb 04, 2019","2,060.87",106.76,--,"534,000,000.00"
"Feb 01, 2019","2,063.18",106.87,0.27,"534,400,000.00"
"Jan 31, 2019","2,068.34",107.41,--,"534,900,000.00"
"Jan 30, 2019","2,060.17",106.98,--,"534,900,000.00"
"Jan 29, 2019","2,057.54",106.85,--,"534,900,000.00"
"Jan 28, 2019","2,053.77",106.65,--,"536,100,000.00"
"Jan 25, 2019","2,052.40",106.58,--,"535,900,000.00"
"Jan 24, 2019","2,055.37",106.74,--,"535,900,000.00"
"Jan 23, 2019","2,050.40",106.48,--,"536,500,000.00"
"Jan 22, 2019","2,051.87",106.55,--,"536,500,000.00"
"Jan 18, 2019","2,046.35",106.27,--,"537,700,000.00"
"Jan 17, 2019","2,048.01",106.35,--,"537,500,000.00"
"Jan 16, 2019","2,048.46",106.38,--,"540,400,000.00"
"Jan 15, 2019","2,049.11",106.41,--,"544,500,000.00"
"Jan 14, 2019","2,049.06",106.41,--,"544,000,000.00"
"Jan 11, 2019","2,050.23",106.47,--,"543,800,000.00"
"Jan 10, 2019","2,046.72",106.29,--,"543,200,000.00"
"Jan 09, 2019","2,047.91",106.35,--,"542,500,000.00"
"Jan 08, 2019","2,047.83",106.35,--,"542,000,000.00"
"Jan 07, 2019","2,050.39",106.48,--,"541,800,000.00"
"Jan 04, 2019","2,050.97",106.51,--,"540,800,000.00"
"Jan 03, 2019","2,060.54",107.00,--,"538,900,000.00"
"Jan 02, 2019","2,049.21",106.42,--,"537,100,000.00"
"Dec 31, 2018","2,046.60",106.27,--,"535,700,000.00"
"Dec 28, 2018","2,041.58",106.02,--,"534,800,000.00"
